,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,11 Comae Berenices b,305.0,19.4 Jupiters,4.74,2007,Gas Giant,2007,19.4 Jupiters,1.08 x Jupiter,1.29 AU,,,,,,,,,
1,11 Ursae Minoris b,410.0,14.74 Jupiters,5.016,2009,Gas Giant,2009,14.74 Jupiters,1.09 x Jupiter,1.53 AU,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
2,14 Andromedae b,247.0,4.8 Jupiters,5.227,2008,Gas Giant,2008,4.8 Jupiters,1.15 x Jupiter,0.83 AU,,,,,,,,,
3,14 Herculis b,59.0,4.66 Jupiters,6.61,2002,Gas Giant,2002,4.66 Jupiters,1.15 x Jupiter,2.93 AU,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
4,16 Cygni B b,69.0,1.78 Jupiters,6.25,1996,Gas Giant,1996,1.78 Jupiters,1.2 x Jupiter,1.66 AU,,,,,,,,,
5,18 Delphini b,249.0,10.3 Jupiters,5.506,2008,Gas Giant,2008,10.3 Jupiters,1.11 x Jupiter,2.6 AU,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
6,1RXS J160929.1-210524 b,473.0,8 Jupiters,12.057,2008,Gas Giant,2008,8 Jupiters,1.664 x Jupiter,330.0 AU,,,,,,,,,
7,24 Bootis b,314.0,0.91 Jupiters,5.58,2018,Gas Giant,2018,0.91 Jupiters,1.24 x Jupiter,0.19 AU,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
8,24 Sextantis b,236.0,1.99 Jupiters,6.441,2010,Gas Giant,2010,1.99 Jupiters,1.19 x Jupiter,1.333 AU,,,,,,,,,
9,24 Sextantis c,236.0,0.86 Jupiters,6.441,2010,Gas Giant,2010,0.86 Jupiters,1.24 x Jupiter,2.08 AU,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
10,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,,2013,Gas Giant,2013,13 Jupiters,1.1 x Jupiter,84.0 AU,,,,,,,,,
11,2MASS J01225093-2439505 b,117.0,24.5 Jupiters,14.24,2013,Gas Giant,2013,24.5 Jupiters,1.0 x Jupiter,52.0 AU,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
12,2MASS J02192210-3925225 b,129.0,13.9 Jupiters,15.012,2015,Gas Giant,2015,13.9 Jupiters,1.44 x Jupiter,156.0 AU,,,,,,,,,
13,2MASS J04414489+2301513 b,457.0,7.5 Jupiters,18.967,2010,Gas Giant,2010,7.5 Jupiters,1.13 x Jupiter,15.0 AU,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
14,2MASS J12073346-3932539 b,210.0,4 Jupiters,20.15,2004,Gas Giant,2004,4 Jupiters,1.16 x Jupiter,46.0 AU,,,,,,,,,
15,2MASS J19383260+4603591 b,1307.0,1.9 Jupiters,12.138,2015,Gas Giant,2015,1.9 Jupiters,1.2 x Jupiter,0.92 AU,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
16,2MASS J21402931+1625183 A b,82.0,20.95 Jupiters,17.396,2009,Gas Giant,2009,20.95 Jupiters,0.92 x Jupiter,Unknown,,,,,,,,,
17,2MASS J22362452+4751425 b,241.0,12.5 Jupiters,12.51,2016,Gas Giant,2016,12.5 Jupiters,1.1 x Jupiter,230.0 AU,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
18,30 Arietis B b,146.0,13.82 Jupiters,6.962,2009,Gas Giant,2009,13.82 Jupiters,1.1 x Jupiter,0.99 AU,,,,,,,,,
19,42 Draconis b,296.0,3.88 Jupiters,4.82,2008,Gas Giant,2008,3.88 Jupiters,1.16 x Jupiter,1.19 AU,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
20,47 Ursae Majoris b,45.0,2.53 Jupiters,5.05,1996,Gas Giant,1996,2.53 Jupiters,1.18 x Jupiter,2.1 AU,,,,,,,,,
21,47 Ursae Majoris c,45.0,0.54 Jupiters,5.05,2001,Gas Giant,2001,0.54 Jupiters,1.27 x Jupiter,3.6 AU,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,
22,47 Ursae Majoris d,45.0,1.64 Jupiters,5.05,2009,Gas Giant,2009,1.64 Jupiters,1.2 x Jupiter,11.6 AU,,,,,,,,,
23,4 Ursae Majoris b,240.0,7.1 Jupiters,4.61,2006,Gas Giant,2006,7.1 Jupiters,1.13 x Jupiter,0.87 AU,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,
24,51 Eridani b,96.0,2 Jupiters,5.23,2015,Gas Giant,2015,2 Jupiters,1.19 x Jupiter,12.0 AU,,,,,,,,,
25,51 Pegasi b,50.0,0.46 Jupiters,5.5,1995,Gas Giant,1995,0.46 Jupiters,1.27 x Jupiter,0.0527 AU,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28
26,55 Cancri b,41.0,0.8306 Jupiters,5.96,1996,Gas Giant,1996,0.8306 Jupiters,1.24 x Jupiter,0.115227 AU,,,,,,,,,
27,55 Cancri c,41.0,0.1714 Jupiters,5.96,2004,Gas Giant,2004,0.1714 Jupiters,0.76 x Jupiter,0.241376 AU,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,
28,55 Cancri d,41.0,3.878 Jupiters,5.96,2002,Gas Giant,2002,3.878 Jupiters,1.16 x Jupiter,5.503 AU,,,,,,,,,
29,55 Cancri e,41.0,8.08 Earths,5.96,2004,Super Earth,2004,8.08 Earths,1.91 x Earth,0.01544 AU,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,
30,55 Cancri f,41.0,0.141 Jupiters,5.96,2007,Gas Giant,2007,0.141 Jupiters,0.677 x Jupiter,0.788 AU,,,,,,,,,
31,61 Virginis b,28.0,5.1 Earths,4.74,2009,Neptune-like,2009,5.1 Earths,2.11 x Earth,0.050201 AU,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,
32,61 Virginis c,28.0,18.2 Earths,4.74,2009,Neptune-like,2009,18.2 Earths,0.398 x Jupiter,0.2175 AU,,,,,,,,,
33,61 Virginis d,28.0,22.9 Earths,4.74,2009,Neptune-like,2009,22.9 Earths,0.456 x Jupiter,0.476 AU,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12
34,6 Lyncis b,179.0,2.01 Jupiters,5.86,2008,Gas Giant,2008,2.01 Jupiters,1.19 x Jupiter,2.11 AU,,,,,,,,,
35,70 Virginis b,58.0,7.49 Jupiters,4.97,1996,Gas Giant,1996,7.49 Jupiters,1.13 x Jupiter,0.481 AU,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,
36,75 Ceti b,271.0,3 Jupiters,5.35,2012,Gas Giant,2012,3 Jupiters,1.17 x Jupiter,2.1 AU,,,,,,,,,
37,7 Canis Majoris b,65.0,1.85 Jupiters,3.92,2011,Gas Giant,2011,1.85 Jupiters,1.2 x Jupiter,1.758 AU,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41
38,7 Canis Majoris c,65.0,0.87 Jupiters,3.92,2019,Gas Giant,2019,0.87 Jupiters,1.24 x Jupiter,2.153 AU,,,,,,,,,
39,81 Ceti b,331.0,5.3 Jupiters,5.65,2008,Gas Giant,2008,5.3 Jupiters,1.14 x Jupiter,2.5 AU,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11
40,8 Ursae Minoris b,533.0,1.31 Jupiters,6.83,2015,Gas Giant,2015,1.31 Jupiters,1.22 x Jupiter,0.49 AU,,,,,,,,,
41,91 Aquarii b,144.0,3.2 Jupiters,4.25,2013,Gas Giant,2013,3.2 Jupiters,1.17 x Jupiter,0.7 AU,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03
42,AB Pictoris b,163.0,13.5 Jupiters,9.128,2005,Gas Giant,2005,13.5 Jupiters,1.1 x Jupiter,260.0 AU,,,,,,,,,
43,Alpha Arietis b,66.0,1.8 Jupiters,2.0,2010,Gas Giant,2010,1.8 Jupiters,1.2 x Jupiter,1.2 AU,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
44,Alpha Tauri b,67.0,6.47 Jupiters,0.85,2015,Gas Giant,2015,6.47 Jupiters,1.13 x Jupiter,1.46 AU,,,,,,,,,
45,AU Microscopii b,32.0,0.18 Jupiters,8.81,2020,Gas Giant,2020,0.18 Jupiters,0.375 x Jupiter,0.066 AU,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
46,BD+03 2562 b,8540.0,6.4 Jupiters,9.58,2017,Gas Giant,2017,6.4 Jupiters,1.13 x Jupiter,1.3 AU,,,,,,,,,
47,BD-06 1339 b,66.0,8.5 Earths,9.7,2013,Neptune-like,2013,8.5 Earths,0.254 x Jupiter,0.0428 AU,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
48,BD-06 1339 c,66.0,0.17 Jupiters,9.7,2013,Gas Giant,2013,0.17 Jupiters,0.747 x Jupiter,0.435 AU,,,,,,,,,
49,BD-08 2823 b,135.0,12.7132 Earths,9.88,2009,Neptune-like,2009,12.7132 Earths,0.322 x Jupiter,0.06 AU,51 Eri,Imaging,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,
50,BD-08 2823 c,135.0,0.33 Jupiters,9.88,2009,Gas Giant,2009,0.33 Jupiters,1.11 x Jupiter,0.68 AU,,,,,,,,,
51,BD-10 3166 b,276.0,0.59 Jupiters,10.08,2000,Gas Giant,2000,0.59 Jupiters,1.26 x Jupiter,0.04 AU,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2
52,BD-11 4672 b,89.0,0.65 Jupiters,9.99,2014,Gas Giant,2014,0.65 Jupiters,1.25 x Jupiter,2.36 AU,,,,,,,,,
53,BD-11 4672 c,89.0,15.37 Earths,9.99,2020,Neptune-like,2020,15.37 Earths,0.36 x Jupiter,0.3 AU,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
54,BD-13 2130 b,3095.0,9.78 Jupiters,9.45,2007,Gas Giant,2007,9.78 Jupiters,1.11 x Jupiter,1.66 AU,,,,,,,,,
55,BD+14 4559 b,161.0,1.04 Jupiters,9.63,2009,Gas Giant,2009,1.04 Jupiters,1.23 x Jupiter,0.78 AU,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
56,BD+15 2375 b,2525.0,1.061 Jupiters,10.31,2016,Gas Giant,2016,1.061 Jupiters,1.23 x Jupiter,0.576 AU,,,,,,,,,
57,BD+15 2940 b,1408.0,1.11 Jupiters,9.046,2013,Gas Giant,2013,1.11 Jupiters,1.23 x Jupiter,0.539 AU,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
58,BD-17 63 b,113.0,5.1 Jupiters,9.566,2008,Gas Giant,2008,5.1 Jupiters,1.15 x Jupiter,1.34 AU,,,,,,,,,
59,BD+20 2457 b,5450.0,55.59 Jupiters,9.75,2009,Gas Giant,2009,55.59 Jupiters,1.03 x Jupiter,1.05 AU,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
60,BD+20 2457 c,5450.0,12.47 Jupiters,9.75,2009,Gas Giant,2009,12.47 Jupiters,1.1 x Jupiter,2.01 AU,,,,,,,,,
61,BD+20 274 b,4514.0,4.2 Jupiters,9.36,2012,Gas Giant,2012,4.2 Jupiters,1.16 x Jupiter,1.3 AU,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
62,BD+20 594 b,588.0,22.2481 Earths,11.038,2016,Neptune-like,2016,22.2481 Earths,0.23 x Jupiter,0.241 AU,,,,,,,,,
63,BD+48 738 b,2910.0,0.91 Jupiters,9.14,2011,Gas Giant,2011,0.91 Jupiters,1.24 x Jupiter,1.0 AU,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2
64,BD+48 740 b,2215.0,1.7 Jupiters,8.699,2018,Gas Giant,2018,1.7 Jupiters,1.2 x Jupiter,1.7 AU,,,,,,,,,
65,BD+49 828 b,1460.0,1.6 Jupiters,9.38,2015,Gas Giant,2015,1.6 Jupiters,1.21 x Jupiter,4.2 AU,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
66,Beta Cancri b,295.0,7.8 Jupiters,3.53,2014,Gas Giant,2014,7.8 Jupiters,1.12 x Jupiter,1.7 AU,,,,,,,,,
67,Beta Pictoris b,64.0,11 Jupiters,3.85,2008,Gas Giant,2008,11 Jupiters,1.65 x Jupiter,9.1 AU,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
68,Beta Pictoris c,64.0,9 Jupiters,3.85,2019,Gas Giant,2019,9 Jupiters,1.12 x Jupiter,2.7 AU,,,,,,,,,
69,Beta Ursae Minoris b,127.0,6.1 Jupiters,2.08,2014,Gas Giant,2014,6.1 Jupiters,1.14 x Jupiter,1.4 AU,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
70,CFBDSIR J145829+101343 b,75.0,10.5 Jupiters,,2011,Gas Giant,2011,10.5 Jupiters,1.11 x Jupiter,2.6 AU,,,,,,,,,
71,CHXR 73 b,623.0,12.569 Jupiters,17.293,2006,Gas Giant,2006,12.569 Jupiters,1.1 x Jupiter,210.0 AU,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
72,CI Tauri b,515.0,11.6 Jupiters,12.939,2019,Gas Giant,2019,11.6 Jupiters,1.11 x Jupiter,Unknown,,,,,,,,,
73,CoRoT-10 b,1125.0,2.75 Jupiters,15.22,2010,Gas Giant,2010,2.75 Jupiters,0.97 x Jupiter,0.1055 AU,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
74,CoRoT-11 b,1827.0,2.33 Jupiters,12.939,2010,Gas Giant,2010,2.33 Jupiters,1.43 x Jupiter,0.0436 AU,,,,,,,,,
75,CoRoT-12 b,3751.0,0.917 Jupiters,15.515,2010,Gas Giant,2010,0.917 Jupiters,1.44 x Jupiter,0.04016 AU,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89
76,CoRoT-13 b,3458.0,1.308 Jupiters,15.039,2010,Gas Giant,2010,1.308 Jupiters,0.885 x Jupiter,0.051 AU,,,,,,,,,
77,CoRoT-14 b,4371.0,7.6 Jupiters,16.033,2010,Gas Giant,2010,7.6 Jupiters,1.09 x Jupiter,0.027 AU,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5
78,CoRoT-16 b,2740.0,0.535 Jupiters,15.63,2011,Gas Giant,2011,0.535 Jupiters,1.17 x Jupiter,0.0618 AU,,,,,,,,,
79,CoRoT-17 b,3001.0,2.43 Jupiters,15.46,2011,Gas Giant,2011,2.43 Jupiters,1.02 x Jupiter,0.0461 AU,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3
80,CoRoT-18 b,2838.0,3.47 Jupiters,15.0,2011,Gas Giant,2011,3.47 Jupiters,1.31 x Jupiter,0.0295 AU,,,,,,,,,
81,CoRoT-19 b,2512.0,1.11 Jupiters,14.007,2011,Gas Giant,2011,1.11 Jupiters,1.29 x Jupiter,0.0518 AU,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0
82,CoRoT-1 b,2627.0,1.03 Jupiters,13.6,2008,Gas Giant,2008,1.03 Jupiters,1.49 x Jupiter,0.02752 AU,,,,,,,,,
83,CoRoT-20 b,2819.0,4.3 Jupiters,14.66,2011,Gas Giant,2011,4.3 Jupiters,0.84 x Jupiter,0.09 AU,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0
84,CoRoT-20 c,2819.0,17 Jupiters,14.66,2018,Gas Giant,2018,17 Jupiters,1.09 x Jupiter,2.9 AU,,,,,,,,,
85,CoRoT-21 b,4563.0,2.26 Jupiters,16.0,2012,Gas Giant,2012,2.26 Jupiters,1.3 x Jupiter,0.0417 AU,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,
86,CoRoT-22 b,1931.0,12.2 Earths,13.944,2014,Neptune-like,2014,12.2 Earths,0.435 x Jupiter,0.092 AU,,,,,,,,,
87,CoRoT-23 b,1957.0,2.8 Jupiters,15.63,2011,Gas Giant,2011,2.8 Jupiters,1.05 x Jupiter,0.048 AU,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553.0,1.5,13.9
88,CoRoT-24 b,1957.0,5.7 Earths,15.18,2014,Neptune-like,2014,5.7 Earths,0.33 x Jupiter,0.056 AU,,,,,,,,,
89,CoRoT-24 c,1957.0,28 Earths,15.18,2014,Neptune-like,2014,28 Earths,0.44 x Jupiter,0.098 AU,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055.0,1.13,45.1
90,CoRoT-25 b,3262.0,0.27 Jupiters,14.711,2013,Gas Giant,2013,0.27 Jupiters,1.08 x Jupiter,0.0578 AU,,,,,,,,,
91,CoRoT-26 b,5448.0,0.52 Jupiters,15.468,2013,Gas Giant,2013,0.52 Jupiters,1.26 x Jupiter,0.0526 AU,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700.0,0.5,0.75
92,CoRoT-27 b,3377.0,10.39 Jupiters,15.54,2014,Gas Giant,2014,10.39 Jupiters,1.007 x Jupiter,0.0476 AU,,,,,,,,,
93,CoRoT-28 b,1827.0,0.484 Jupiters,13.412,2015,Gas Giant,2015,0.484 Jupiters,0.955 x Jupiter,0.0603 AU,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095.0,1.14,32.35
94,CoRoT-29 b,2495.0,0.85 Jupiters,15.239,2015,Gas Giant,2015,0.85 Jupiters,0.9 x Jupiter,0.0386 AU,,,,,,,,,
95,CoRoT-2 b,652.0,3.47 Jupiters,12.57,2008,Gas Giant,2008,3.47 Jupiters,1.466 x Jupiter,0.02798 AU,BD+14 4559,Radial Velocity,,,21h13m35.99s,+14d41m21.8s,4864.0,0.49,0.86
96,CoRoT-30 b,3132.0,2.9 Jupiters,15.65,2020,Gas Giant,2020,2.9 Jupiters,1.009 x Jupiter,0.0844 AU,,,,,,,,,
97,CoRoT-31 b,7144.0,0.84 Jupiters,15.465,2020,Gas Giant,2020,0.84 Jupiters,1.46 x Jupiter,0.0586 AU,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649.0,1.08,8.95
98,CoRoT-3 b,2218.0,21.66 Jupiters,13.292,2008,Gas Giant,2008,21.66 Jupiters,1.01 x Jupiter,0.05783 AU,,,,,,,,,
99,CoRoT-4 b,2419.0,0.72 Jupiters,13.561,2008,Gas Giant,2008,0.72 Jupiters,1.19 x Jupiter,0.09 AU,BD+15 2940,Radial Velocity,,,16h00m22.94s,+15d32m48.9s,4796.0,1.1,14.7
100,CoRoT-5 b,2951.0,0.467 Jupiters,13.902,2009,Gas Giant,2009,0.467 Jupiters,1.388 x Jupiter,0.04947 AU,,,,,,,,,
101,CoRoT-6 b,2144.0,2.96 Jupiters,13.912,2009,Gas Giant,2009,2.96 Jupiters,1.166 x Jupiter,0.0855 AU,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
102,CoRoT-7 b,524.0,3.1783 Earths,11.668,2009,Super Earth,2009,3.1783 Earths,1.681 x Earth,0.017016 AU,,,,,,,,,
103,CoRoT-7 c,524.0,8.4 Earths,11.668,2009,Neptune-like,2009,8.4 Earths,0.253 x Jupiter,0.046 AU,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
104,CoRoT-8 b,1240.0,0.22 Jupiters,14.8,2010,Gas Giant,2010,0.22 Jupiters,0.57 x Jupiter,0.063 AU,,,,,,,,,
105,CoRoT-9 b,1363.0,0.84 Jupiters,13.69,2009,Gas Giant,2009,0.84 Jupiters,1.066 x Jupiter,0.4021 AU,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296.0,0.8,17.3
106,CoRoTID 223977153 b,1912.0,0.15 Jupiters,13.587,2017,Gas Giant,2017,0.15 Jupiters,0.57 x Jupiter,0.071 AU,,,,,,,,,
107,CT Chamaleontis b,538.0,17 Jupiters,11.773,2007,Gas Giant,2007,17 Jupiters,2.2 x Jupiter,440.0 AU,BD+20 594,Transit,89.55,,03h34m36.23s,+20d35m57.2s,5766.0,1.67,1.08
108,DE Canun Venaticorum b,100.0,12.0293 Jupiters,11.975,2018,Gas Giant,2018,12.0293 Jupiters,1.1 x Jupiter,5.75 AU,,,,,,,,,
109,DENIS-P J082303.1-491201 b,68.0,28.5 Jupiters,18.558,2013,Gas Giant,2013,28.5 Jupiters,1.06 x Jupiter,0.36 AU,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414.0,0.74,11.0
110,DH Tauri b,457.0,11 Jupiters,12.496,2004,Gas Giant,2004,11 Jupiters,2.7 x Jupiter,330.0 AU,,,,,,,,,
111,DMPP-1 b,202.0,24.27 Earths,7.981,2019,Neptune-like,2019,24.27 Earths,0.472 x Jupiter,0.1462 AU,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534.0,1.09,10.33
112,DMPP-1 c,202.0,9.6 Earths,7.981,2019,Neptune-like,2019,9.6 Earths,0.273 x Jupiter,0.0733 AU,,,,,,,,,
113,DMPP-1 d,202.0,3.35 Earths,7.981,2019,Super Earth,2019,3.35 Earths,1.65 x Earth,0.0422 AU,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943.0,1.52,7.6
114,DMPP-1 e,202.0,4.13 Earths,7.981,2019,Super Earth,2019,4.13 Earths,1.86 x Earth,0.0651 AU,,,,,,,,,
115,DMPP-2 b,437.0,0.437 Jupiters,8.567,2019,Gas Giant,2019,0.437 Jupiters,1.28 x Jupiter,0.0664 AU,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
116,DMPP-3 A b,160.0,2.58 Earths,9.066,2019,Super Earth,2019,2.58 Earths,1.41 x Earth,0.0662 AU,,,,,,,,,
117,DP Leonis b,995.0,6.28 Jupiters,18.633,2009,Gas Giant,2009,6.28 Jupiters,1.14 x Jupiter,8.19 AU,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
118,DS Tucanae A b,144.0,1.3 Jupiters,8.469,2019,Neptune-like,2019,1.3 Jupiters,0.509 x Jupiter,Unknown,,,,,,,,,
119,EPIC 201238110 b,522.0,4.16 Earths,15.261,2019,Super Earth,2019,4.16 Earths,1.87 x Earth,Unknown,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
120,EPIC 201497682 b,831.0,0.26 Earths,14.102,2019,Terrestrial,2019,0.26 Earths,0.692 x Earth,Unknown,,,,,,,,,
121,EPIC 201615463 c,1569.0,1.98 Earths,12.074,2019,Super Earth,2019,1.98 Earths,1.22 x Earth,Unknown,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
122,EPIC 201754305 d,1103.0,1.08 Earths,14.67,2019,Super Earth,2019,1.08 Earths,1.03 x Earth,Unknown,,,,,,,,,
123,EPIC 201833600 c,846.0,0.972 Earths,14.717,2019,Terrestrial,2019,0.972 Earths,1.0 x Earth,Unknown,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393.0,1.47,0.91
124,EPIC 201841433 b,1442.0,1.37 Earths,14.867,2019,Super Earth,2019,1.37 Earths,1.1 x Earth,Unknown,,,,,,,,,
125,EPIC 205950854 c,801.0,2.27 Earths,12.291,2019,Super Earth,2019,2.27 Earths,1.31 x Earth,Unknown,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
126,EPIC 206024342 b,1219.0,3.53 Earths,13.116,2019,Super Earth,2019,3.53 Earths,1.7 x Earth,Unknown,,,,,,,,,
127,EPIC 206032309 b,529.0,1.01 Earths,16.069,2019,Super Earth,2019,1.01 Earths,1.01 x Earth,Unknown,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
128,EPIC 206042996 b,1492.0,3.26 Earths,16.743,2019,Super Earth,2019,3.26 Earths,1.62 x Earth,Unknown,,,,,,,,,
129,EPIC 206215704 b,360.0,0.666 Earths,16.172,2019,Terrestrial,2019,0.666 Earths,0.9 x Earth,Unknown,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545.0,2.12,19.17
130,EPIC 206317286 b,1035.0,0.84 Earths,14.051,2019,Terrestrial,2019,0.84 Earths,0.96 x Earth,Unknown,,,,,,,,,
131,EPIC 211822797 b,611.0,4.58 Earths,15.256,2016,Super Earth,2016,4.58 Earths,1.98 x Earth,0.131 AU,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714.0,0.74,0.69
132,EPIC 211945201 b,596.0,27 Earths,10.154,2018,Neptune-like,2018,27 Earths,0.514 x Jupiter,0.1493 AU,,,,,,,,,
133,EPIC 212297394 b,1381.0,2.31 Earths,14.423,2019,Super Earth,2019,2.31 Earths,1.323 x Earth,Unknown,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2
134,EPIC 212424622 b,2031.0,5.35 Earths,13.354,2019,Neptune-like,2019,5.35 Earths,2.17 x Earth,Unknown,,,,,,,,,
135,EPIC 212499991 b,932.0,3.19 Earths,13.552,2019,Super Earth,2019,3.19 Earths,1.6 x Earth,Unknown,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,
136,EPIC 212587672 b,1053.0,1.46 Earths,12.487,2019,Super Earth,2019,1.46 Earths,1.12 x Earth,Unknown,,,,,,,,,
137,EPIC 212737443 b,1133.0,7.2 Earths,14.836,2019,Neptune-like,2019,7.2 Earths,0.231 x Jupiter,0.098 AU,bet Pic,Radial Velocity,90.0,,05h47m17.09s,-51d03m59.4s,,1.76,
138,EPIC 212737443 c,1133.0,7.7 Earths,14.836,2019,Neptune-like,2019,7.7 Earths,0.24 x Jupiter,0.28 AU,,,,,,,,,
139,EPIC 220554210 c,1638.0,2.79 Earths,14.042,2019,Super Earth,2019,2.79 Earths,1.48 x Earth,Unknown,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126.0,1.4,38.3
140,EPIC 220674823 b,803.0,7.72 Earths,12.102,2016,Super Earth,2016,7.72 Earths,1.82 x Earth,0.0134 AU,,,,,,,,,
