,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2264,Kepler-1641 c,3135.0,9.01 Earths,14.223,2016,Neptune-like,2016,9.01 Earths,0.263 x Jupiter,Unknown,,,,,,,,,
2265,Kepler-1642 b,1458.0,10.3 Earths,14.101,2016,Neptune-like,2016,10.3 Earths,0.285 x Jupiter,Unknown,K2-183,Transit,,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
2266,Kepler-1642 c,1458.0,7.56 Earths,14.101,2016,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,Unknown,,,,,,,,,
2267,Kepler-1643 b,1350.0,5.9 Earths,13.827,2016,Neptune-like,2016,5.9 Earths,0.205 x Jupiter,Unknown,K2-184,Transit,,,08h36m33.63s,+14d27m43.0s,5220.0,0.86,0.78
2268,Kepler-1644 b,1931.0,4.19 Earths,14.183,2016,Super Earth,2016,4.19 Earths,1.88 x Earth,Unknown,,,,,,,,,
2269,Kepler-1645 b,2753.0,3.82 Earths,14.441,2016,Super Earth,2016,3.82 Earths,1.78 x Earth,Unknown,K2-185,Transit,88.932,,08h41m02.32s,+14d41m25.2s,5722.0,0.98,0.91
2270,Kepler-1646 b,264.0,2.04 Earths,15.655,2016,Super Earth,2016,2.04 Earths,1.23 x Earth,Unknown,,,,,,,,,
2271,Kepler-1647 b,4097.0,1.51968 Jupiters,13.579,2016,Gas Giant,2016,1.51968 Jupiters,1.059 x Jupiter,2.7205 AU,K2-186,Transit,89.524,,09h01m20.39s,+18d49m31.6s,5784.0,1.02,0.98
2272,Kepler-1649 b,302.0,1.03 Earths,16.268,2017,Super Earth,2017,1.03 Earths,1.017 x Earth,0.0514 AU,,,,,,,,,
2273,Kepler-1649 c,302.0,1.2 Earths,16.268,2020,Super Earth,2020,1.2 Earths,1.06 x Earth,Unknown,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
2274,Kepler-164 b,2982.0,2.57 Earths,14.233,2014,Super Earth,2014,2.57 Earths,1.41 x Earth,0.058 AU,,,,,,,,,
2275,Kepler-164 c,2982.0,7.9 Earths,14.233,2014,Neptune-like,2014,7.9 Earths,0.244 x Jupiter,0.097 AU,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
2276,Kepler-164 d,2982.0,6.57 Earths,14.233,2014,Neptune-like,2014,6.57 Earths,0.219 x Jupiter,0.187 AU,,,,,,,,,
2277,Kepler-1650 b,393.0,0.84 Earths,15.739,2017,Terrestrial,2017,0.84 Earths,0.96 x Earth,Unknown,K2-187,Transit,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
